Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Avoided Emissions (lbs CO2),Curtailed
01-04 20:00,650.777,850.537,850.537,553509.917249,False
01-04 21:00,450.232,850.537,850.537,382938.974584,False
01-04 22:00,303.522,850.537,850.537,258156.691314,False
01-04 23:00,280.238,850.537,850.537,238352.787806,False
01-05 00:00,125.772,850.5369999999999,850.5369999999999,106973.73956399999,False
01-05 01:00,119.049,850.537,850.537,101255.57931300001,False
01-05 02:00,122.677,850.537,850.537,104341.32754900001,False
01-05 03:00,106.852,850.537,850.537,90881.579524,False
01-05 04:00,76.7949,850.537,850.537,65316.9038613,False
01-05 05:00,94.0366,850.537,850.537,79981.60765420001,False
01-05 06:00,117.049,850.5370000000001,850.5370000000001,99554.50531300002,False
01-05 07:00,125.31,850.537,850.537,106580.79147000001,False
01-05 08:00,281.334,850.537,850.537,239284.976358,False
01-05 09:00,450.864,850.537,850.537,383476.513968,False
01-05 10:00,399.439,850.537,850.537,339737.64874300006,False
01-05 11:00,292.122,850.537,850.537,248460.56951400003,False
01-05 12:00,136.197,850.537,850.537,115840.58778900001,False
01-05 13:00,63.3965,850.537,850.537,53921.0689205,False
01-05 14:00,37.9883,850.537,850.537,32310.454717100005,False
01-05 15:00,31.208,850.537,850.537,26543.558696,False
01-05 16:00,5.760140000000001,850.537,850.537,4899.212195180001,False
01-05 17:00,39.6505,850.537,850.537,33724.2173185,False
01-05 18:00,73.1088,850.537,850.537,62181.739425600004,False
01-05 19:00,110.054,850.537,850.537,93604.99899800001,False
01-05 20:00,400.979,850.537,850.537,341047.475723,False
01-05 21:00,556.639,850.537,850.537,473442.06514300004,False
01-05 22:00,630.333,850.5370000000001,850.5370000000001,536121.538821,False
01-05 23:00,830.018,850.537,850.537,705961.019666,False
01-06 00:00,830.692,850.537,850.537,706534.281604,False
01-06 01:00,830.692,781.5401440735332,781.5401440735332,649219.1453607314,False
01-06 02:00,830.692,772.2238267017428,772.2238267017428,641480.1550505242,False
01-06 03:00,830.692,762.3731273880597,762.3731273880597,633297.2579362422,False
01-06 04:00,830.692,767.5994032905297,767.5994032905297,637638.6835182167,False
01-06 05:00,830.692,775.8932401608445,775.8932401608445,644528.3074556922,False
01-06 06:00,830.692,787.3202467045224,787.3202467045224,654020.6303754732,False
01-06 07:00,830.692,789.8282535611065,789.8282535611065,656104.0116071827,False
01-06 08:00,830.692,790.3728834333202,790.3728834333202,656556.4312849917,False
01-06 09:00,830.692,752.5300804409475,752.5300804409475,625120.7175816515,False
01-06 10:00,830.692,786.9483968632438,786.9483968632438,653711.7376871217,False
01-06 11:00,830.692,779.6243877096528,779.6243877096528,647627.7418753068,False
01-06 12:00,830.692,772.2173981285988,772.2173981285988,641474.814886242,False
01-06 13:00,830.692,767.9448350471749,767.9448350471749,637925.6309150079,False
01-06 14:00,830.692,763.1071225197144,763.1071225197144,633906.9818201466,False
01-06 15:00,830.692,850.537,850.537,706534.281604,False
01-06 16:00,830.692,684.5667728150926,684.5667728150926,568664.1416433149,False
01-06 17:00,408.466,0.0,0.0,0.0,False
01-06 18:00,830.304,683.3746057575618,683.3746057575618,567408.6686589265,False
01-06 19:00,485.87,765.9201431229022,765.9201431229022,372137.6199391245,False
01-06 20:00,587.531,764.4854830419077,764.4854830419077,449158.92033709504,False
01-06 21:00,830.692,752.9976678475232,752.9976678475232,625509.1386995948,False
01-06 22:00,830.692,721.542268846052,721.542268846052,599379.3903922647,False
01-06 23:00,830.692,703.5949144482553,703.5949144482553,584470.66667285,False
01-07 00:00,830.692,711.7727598212911,711.7727598212911,591263.9374014679,False
01-07 01:00,830.692,686.2027707401253,686.2027707401253,570023.1520316561,False
01-07 02:00,830.692,680.6866604914088,680.6866604914088,565440.9633769294,False
01-07 03:00,830.692,688.5673479716083,688.5673479716083,571987.3874212313,False
01-07 04:00,830.692,693.7872467080613,693.7872467080613,576323.5155424129,False
01-07 05:00,830.692,715.6573166883178,715.6573166883178,594490.807714452,False
01-07 06:00,830.692,735.2760271246765,735.2760271246765,610787.9135242518,False
01-07 07:00,830.692,747.5527002351098,747.5527002351098,620986.0476637038,False
01-07 08:00,830.692,749.398405837113,749.398405837113,622519.2605416431,False
01-07 09:00,830.692,752.0686584126398,752.0686584126398,624737.4179941126,False
01-07 10:00,830.692,752.6452833371785,752.6452833371785,625216.4157059275,False
01-07 11:00,830.692,751.5083927797443,751.5083927797443,624272.0098149914,False
01-07 12:00,830.692,751.2721108950229,751.2721108950229,624075.7323436084,False
01-07 13:00,830.692,745.2225929946928,745.2225929946928,619050.4462199474,False
01-07 14:00,830.692,747.2526178127515,747.2526178127515,620736.7715961102,False
01-07 15:00,830.692,752.9427819874562,752.9427819874562,625463.545454724,False
01-07 16:00,830.692,759.5107323615807,759.5107323615807,630919.4892869062,False
01-07 17:00,830.692,761.2429787875525,761.2429787875525,632358.4525349896,False
01-07 18:00,830.692,756.8982751300729,756.8982751300729,628749.3419643505,False
01-07 19:00,830.692,756.6906810955519,756.6906810955519,628576.8952606262,False
01-07 20:00,830.692,755.4160788396788,755.4160788396788,627518.0933634904,False
01-07 21:00,830.692,740.6285233300679,740.6285233300679,615234.1893021008,False
01-07 22:00,830.692,722.1141802967186,722.1141802967186,599854.4726590418,False
01-07 23:00,830.692,712.8569727903706,712.8569727903706,592164.5844411786,False
01-08 00:00,830.692,717.3052310067114,717.3052310067114,595859.7169554272,False
01-08 01:00,830.692,711.7874035364553,711.7874035364553,591276.1018185051,False
